title,link,preview
AI 기반의 위협 탐지가 아직 시장을 장악하지 못한 이유 - ITWorld Korea,www.itworld.co.kr/news/115320,"2019년 1월 21일 ... 소프트웨어 업체 다크트레이스(Darktrace) CEO 니콜 이건에 따르면, 사이버보안 전문가 10명 가운데 2명만이 일반적으로 AI를 위협 탐지의 핵심 ..."
네트워크 운영 : AI와 ML의 새로운 역할 - ITWorld Korea,www.itworld.co.kr/news/111554,2018년 11월 20일 ... 학계와 산업계에서 수십년에 걸쳐 발전해왔고 성공적인 응용 사례도 많지만 인공 지능(AI)과 머신러닝(ML)에 대한 IT의 시각은 여전히 상당부분 ...
AI 여정을 가속화하는 핵심 로드맵 - IDG Summary - ITWorld Korea,www.itworld.co.kr/techlibrary/118550,2019년 3월 12일 ... 인공지능(AI)은 이미 엔터프라이즈 환경에 깊숙이 들어와 있다. 기업에 AI가 필요 하고 도입해야 할 때라는 것에 이의를 제기하는 사람도 없다. 그러나 ...
기업이 반드시 도입해야 하는 AI 활용법 5가지 - ITWorld Korea,www.itworld.co.kr/news/105057,"2017년 6월 2일 ... 한때 AI는 상급 컴퓨터 과학자나 미래학자를 위한 주제였지만, 오늘날에는 그렇게 부담스러운 것이 아니다.이 분야의 눈부신 발전으로 AI는 이제 ..."
"IT 미래를 이끄는 삼두마차, ""AI, IoT, 하이브리드 클라우드"" - ITWorld ...",www.itworld.co.kr/news/106773,"2017년 10월 17일 ... 두 가지 가장 두드러진 추세는 사물인터넷(IoT)과 인공 지능(AI)으로, 이 둘은 실과 바늘처럼 늘 붙어 다닌다. 간단히 설명하면 IoT는 다수의 기기가 ..."
"""사이버보안의 가장 큰 위협이 될 수 있는"" AI 퍼징이란 무엇인가 ...",www.itworld.co.kr/howto/119834,2019년 3월 28일 ... Getty Images BankAI 퍼징의 정의 AI 퍼징(AI fuzzing)은 애플리케이션이나 시스템 의 취약점을 찾는 데 머신러닝과 유사한 기술을 사용한다.
"AI를 활용한 사이버 위협, 보안의 다음 과제 - ITWorld Korea",www.itworld.co.kr/news/111362,"2018년 11월 5일 ... 정보보안과 IT 팀의 인공지능(Artificial Intelligence, AI)과 보안에 관한 회의는 뿌리깊다. 따지고 보면 AI의 등장에 대한 이야기는 1980년대부터 ..."
'구글의 진짜 혁신' AI 카메라 클립스에서 보인다 - ITWorld Korea,www.itworld.co.kr/news/106680,"2017년 10월 11일 ... 구글 클립스는 인공 지능(AI)을 사용해 사진을 촬영할 시기를 선택한다. 렌즈를 돌려 시작 시점에 놓으면, 이후 카메라가 자동으로 작동한다."
성공적인 AI 프로젝트를 위한 8가지 핵심 직무 - ITWorld Korea,www.itworld.co.kr/news/118955,"2019년 3월 18일 ... 인공 지능(Artificial intelligence, AI)은 비즈니스 가치를 높일 수 있는 풍부한 기회를 제공한다. AI를 제대로 적용할 경우 매출이 증가하고 운영이 ..."
"“AI에 투자하는 기업의 80%, AI 도입 시 상당한 장벽 예상”…테라데이타",www.itworld.co.kr/news/106784,"2017년 10월 18일 ... 한국테라데이타(www.teradata.kr)는 AI 기술에 대한 인식 조사 보고서를 발표했다. 이 보고서에 의하면 기업의 80%가 AI에 투자하고 있으며, ..."
글로벌 칼럼 | AI 전쟁이라고 세상이 끝난 것은 아니다 - ITWorld Korea,www.itworld.co.kr/news/110551,"2018년 8월 27일 ... 인공지능(Artificial Intelligence, AI)은 일과 삶을 편하게 해줄 만능열쇠일까, 아니면 악몽에서 나올 법한 자아를 가진 기계를 향한 첫 걸음일까.Credit: ..."
"RPA, AI, 데이터옵스 등 2020년 주시해야 할 기술 8가지 - ITWorld Korea",www.itworld.co.kr/news/129735,"2019년 8월 29일 ... 히타치 반타라(Hitachi Vantara)의 르네 라흐티에 따르면, AI와 ML을 기반으로 하는 애자일 방식으로 데이터를 관리하는 기업들은 2020년에 경쟁력 ..."
AI 지원 보안 솔루션을 구매하기 전 물어야 할 11가지 질문 - ITWorld ...,www.itworld.co.kr/news/120329,2019년 4월 4일 ... 대다수 CISO는 앞으로 3~5년 동안 인공지능(AI)과 머신러닝(ML)이 정보보안 지형 을 격변시킬 것이라고 믿고 있다. 그렇다고 해서 이에 대한 이야기 ...
글로벌 칼럼 | AI는 사이버보안의 미래인가 - ITWorld Korea,www.itworld.co.kr/news/124326,"2019년 6월 14일 ... 또한 전문가는 AI의 자연어 처리 능력이 미래의 사이버보안 도구에서 큰 역할을 할 것으로 기대한다. 즉, AI 시스템은 인터넷에서 대량의 데이터를 ..."
IDG 블로그 | “AR과 AI가 만나면…” MS가 홀로렌즈 2에 AI 코프로세서 ...,www.itworld.co.kr/news/105759,"2017년 7월 26일 ... 흥미로운 점은 오늘날의 VR 및 증강현실(Augmented Reality, AR)은 생각만큼 인공 지능 (Artificial Intelligence,AI)을 활용하지 않는다는 것이다."
"델 EMC, 기업의 AI 도입 지원하는 '서울 AI 익스피리언스 존' 개소 ...",www.itworld.co.kr/news/123156,2019년 5월 23일 ... AI 익스피리언스 존은 국내 기업들이 AI를 비즈니스에 도입하기 위한 핵심 지원 허브 로 기업들의 디지털 트랜스포메이션을 가속화한다고 업체 측은 ...
"“AI 영향, 3년 후 230만 일자리 창출과 180만 일자리 소멸”…가트너 ...",www.itworld.co.kr/news/106708,2017년 10월 12일 ... 가트너는 '가트너 심포지엄/IT엑스포 2017'에서 2018년 이후 주목해야 할 10대 주요 전망을 발표했다.가트너 2018년 주요 전망은 기업들이 '기술의 ...
AI의 진화는 어디까지...장편 영화 대본도 썼다 - ITWorld Korea,www.itworld.co.kr/news/100527,2016년 7월 28일 ... 예술의 영역에 이제 발을 들여놓기 시작한 인공지능(AI)이 큰 발걸음을 내디뎠다. 장편 공포 영화의 시나리오를 공동으로 집필한 것이다. 이렇게 나온 ...
2020년대 인공지능 기술 동향 예측 - ITWorld Korea,www.itworld.co.kr/news/140214,"2019년 12월 26일 ... 인공지능(AI)은 사실상 기술 산업의 모든 분야에서 없어서는 안될 요소가 됐다. 애플리케이션, 개발 툴, 컴퓨팅 플랫폼, 데이터베이스 관리 시스템, ..."
“아직 늦지 않았다” 성공적인 AI 도입의 전제 조건 5가지 - ITWorld Korea,www.itworld.co.kr/news/108855,"2018년 4월 9일 ... 비즈니스는 모두 이렇게 AI와 머신러닝이 해결할 수 있는 문제로 가득 차 있다. 워드 프로세서가 타자기를 대체했듯, AI는 곧 엑셀을 시작으로 사무직 ..."
