title,link,preview
"스마트시티, 5G, 데이터 분석··· 2020년 사물인터넷 전망 ",http://www.itworld.co.kr/t/54649/%EB%B9%85%20%EB%8D%B0%EC%9D%B4%ED%84%B0/140442,"사물인터넷(IoT)은 전세계적인 현상으로 확실히 자리 잡았다. 가트너에 따르면, 2020년 기업 IoT와 자동차 IoT의 엔드포인트 개수는 2019년보다 21% 늘어난 58억 개에 이를 전망이다.  ⓒGetty Images Ba ..."
리뷰 | DNA 테스트 키트 비교··· 23앤드미 vs. 앤세스트리DNA,http://www.itworld.co.kr/t/54649/%EB%B9%85%20%EB%8D%B0%EC%9D%B4%ED%84%B0/140304,"앤세스트리DNA(AncestryDNA)와 23앤드미(23andMe)는 현재 가장 널리 사용하는 DNA 테스트 키트다. 국제유전자계보협회(ISOGG)에 따르면, 두 제품의 사용자 수는 1,500만 명이 넘는다. 두 제품 모두 가격은 99달러로 같다. 연 ..."
"SAS코리아, 시민 데이터 과학자 위한 백서 발간",http://www.itworld.co.kr/t/54649/%EB%B9%85%20%EB%8D%B0%EC%9D%B4%ED%84%B0/140024,SAS코리아(www.sas.com/korea)가 미디어 및 리서치 기관 한국IDG와 함께 ‘시민 데이터 과학자(Citizen Data Scientist)를 위한 백서’를 발간했다. 이번 백서는 데이터 분석 프로세스의 현황과 문제점을 살펴보...
"KT, AI 기반 통신 빅데이터 플랫폼 공개",http://www.itworld.co.kr/t/54649/%EB%B9%85%20%EB%8D%B0%EC%9D%B4%ED%84%B0/139750,"KT(www.kt.com)는 유동인구, 소비, 상권, 여행 등 생활 데이터를 개인과 기업이 자유롭게 거래할 수 있는 통신 빅데이터 플랫폼(http://bdp.kt.co.kr)을 공개하고 이를 기념하는 개소식을 진행했다. 통신 빅데이터 ..."
"글로벌 칼럼 | 위험하고 치명적인 전 지구적 중독, '데이터'",http://www.itworld.co.kr/t/54649/%EB%B9%85%20%EB%8D%B0%EC%9D%B4%ED%84%B0/139730,"아이클라우드 계정의 장애로 인해 평생의 소중한 사진을 잃어버린 개인이나, 고객 데이터를 보호하지 못해 재무 및 평판에서 치명상을 입는 기업을 상상하기는 어렵지 않다. 그런데 호주 같은 국가 단위로 필수적인 정부 데이터의 소실 때문에 국가 기능이 정지하 ..."
“클라우드 데이터 분석 기능의 대통합” 마이크로소프트 애저 시냅스 첫인상,http://www.itworld.co.kr/t/54649/%EB%B9%85%20%EB%8D%B0%EC%9D%B4%ED%84%B0/139236,"마이크로소프트 애저와 같은 하이퍼스케일 클라우드 서비스는 대량의 데이터를 다루도록 설계되며 스토리지 하드웨어를 구매할 때 규모의 경제를 활용한다. 또한 빙, 구글과 같은 검색 엔진과의 긴밀한 관계를 활용, 공중 인터넷 분석을 위해 개발된 알고리즘과 툴 ..."
"데이터리셔스 한국, ‘마이티하이브 한국’으로 사명 변경",http://www.itworld.co.kr/t/54649/%EB%B9%85%20%EB%8D%B0%EC%9D%B4%ED%84%B0/138894,"데이터리셔스 한국이 S4 캐피털(S4 Capital) 산하 글로벌 리딩 미디어 바잉 컨설팅 업체인 마이티하이브와 인수 합병 계약을 완료하며, 마이티하이브 한국(MightyHive Korea)으로 공식 출범한다고 밝혔다. S4 캐피털은 디지..."
"SAS코리아, LG CNS와 협력...“소셜 미디어 빅데이터 분석 시장 공략 가속화”",http://www.itworld.co.kr/t/54649/%EB%B9%85%20%EB%8D%B0%EC%9D%B4%ED%84%B0/138890,SAS코리아(www.sas.com/korea)가 LG CNS와 협력해 소셜 미디어 빅데이터 분석 비즈니스를 확대하고 국내 기업의 데이터 기반 혁신 가속화를 지원한다고 밝혔다.SAS코리아는 LG CNS와 스마트 SMA(Social Media Anal...
넷플릭스의 데이터 과학 툴 '메타플로우' 오픈소스로 공개,http://www.itworld.co.kr/t/54649/%EB%B9%85%20%EB%8D%B0%EC%9D%B4%ED%84%B0/138834,"넷플릭스가 자체 개발해 사용해 온 메타플로우(Metaflow)를 오픈소스로 공개했다. 파이썬 기반 데이터 과학 프로젝트를 개발, 관리하는 툴이다. 메타플로우는 프로토타입부터 모델 배포까지 전체 데이터 과학 워크플로우에서 사용할 수 있다. 또한, AWS ..."
2020년 데이터 주도 혁신에 영향을 줄 5가지 요소  ,http://www.itworld.co.kr/t/54649/%EB%B9%85%20%EB%8D%B0%EC%9D%B4%ED%84%B0/138158,데이터가 여러 업종에 걸쳐 혁신을 견인하는 중심 역할을 한다는 사실이 이제 분명해졌다. 어떤 기업 리더도 이 흐름을 무시할 수 없다. 따라서 가치 체인 안에서 변화를 이끄는 힘을 이해하는 것이 필수적이다. 앞으로 12개월 동안 데이터 주도 혁신을 둘러 ...
